,name,duration,price,volume,is_nightly,nightly_desc,purchase_code,type
0,aptel_30_10.0,30,29000,10240,False,,*99*3*3*1#,دائمی
3,aptel_30_20.0,30,48000,20480,False,,*99*3*3*1#,دائمی
5,aptel_90_20.0,90,59000,20480,False,,*99*3*3*2#,دائمی
7,aptel_180_50.0,180,125000,51200,False,,*99*3*3*3#,دائمی
8,aptel_180_75.0,180,180000,76800,False,,*99*3*3*3#,دائمی
9,aptel_365_100.0,365,240000,102400,False,,*99*3*3*4#,دائمی
12,aptel_365_50.0,365,135000,51200,False,,*99*3*3*4#,دائمی
14,aptel_365_20.0,365,90000,20480,False,,*99*3*3*4#,دائمی
16,aptel_180_10.0,180,45000,10240,False,,*99*3*3*3#,دائمی
19,aptel_90_10.0,90,35000,10240,False,,*99*3*3*2#,دائمی
21,aptel_90_7.0,90,29000,7168,False,,*99*3*3*2#,دائمی
23,aptel_15_1.0,15,8000,1024,False,,*99*3*2*4#,دائمی
24,aptel_15_10.0,15,24000,10240,False,,*99*3*2*4#,دائمی
26,aptel_15_2.0,15,10000,2048,False,,*99*3*2*4#,دائمی
28,aptel_30_2.0,30,11500,2048,False,,*99*3*3*1#,دائمی
30,aptel_30_5.0,30,19000,5120,False,,*99*3*3*1#,دائمی
32,aptel_30_7.0,30,23000,7168,False,,*99*3*3*1#,دائمی
35,aptel_7_1.0,7,7400,1024,False,,*99*3*2*3#,دائمی
37,aptel_7_2.0,7,9000,2048,False,,*99*3*2*3#,دائمی
39,aptel_7_5.0,7,13000,5120,False,,*99*3*2*3#,دائمی
41,aptel_7_0.48828125,7,5400,500,False,,*99*3*2*3#,دائمی
43,aptel_3_1.0,3,6400,1024,False,,*99*3*2*3#,دائمی
45,aptel_3_2.0,3,7600,2048,False,,*99*3*2*3#,دائمی
46,aptel_3_0.1953125,3,3200,200,False,,*99*3*2*3#,دائمی
48,aptel_3_0.48828125,3,4400,500,False,,*99*3*2*3#,دائمی
50,aptel_1_1.0,1,4700,1024,False,,*99*3*2*1#,دائمی
52,aptel_1_0.09765625,1,1700,100,False,,*99*3*2*1#,دائمی
53,aptel_1_2.0,1,6000,2048,False,,*99*3*2*1#,دائمی
56,aptel_1_0.1953125,1,2400,200,False,,*99*3*2*1#,دائمی
58,aptel_1_0.48828125,1,3600,500,False,,*99*3*2*1#,دائمی
