,name,duration,price,volume,is_nightly,nightly_desc,purchase_code,type
0,mci_one-day_0.05859375,1,2150,60,False,,*100*31#,short-time
1,mci_one-day_0.146484375,1,3640,150,False,,*100*31#,short-time
2,mci_one-day_0.244140625,1,4850,250,False,,*100*31#,short-time
3,mci_one-day_0.48828125,1,6590,500,False,,*100*31#,short-time
4,mci_one-day_0.732421875,1,7940,750,False,,*100*31#,short-time
5,mci_one-day_1.0,1,8600,1024,False,,*100*31#,short-time
6,mci_one-day_2.0,1,11300,2048,False,,*100*31#,short-time
7,mci_seven-days_0.1953125,7,5900,200,False,,*100*32#,short-time
8,mci_seven-days_0.29296875,7,7400,300,False,,*100*32#,short-time
9,mci_seven-days_0.48828125,7,9400,500,False,,*100*32#,short-time
10,mci_seven-days_0.732421875,7,11200,750,False,,*100*32#,short-time
11,mci_seven-days_1.5,7,14700,1536,False,,*100*32#,short-time
12,mci_seven-days_2.48828125,7,17500,2548,False,,*100*32#,short-time
13,mci_seven-days_4.0,7,21500,4096,False,,*100*32#,short-time
14,mci_thirty-days_1.0,30,14100,1024,False,,*100*2#,monthly
15,mci_thirty-days_2.0,30,18800,2048,False,,*100*2#,monthly
16,mci_thirty-days_3.0,30,25500,3072,False,,*100*2#,monthly
17,mci_thirty-days_4.0,30,28600,4096,False,,*100*2#,monthly
18,mci_thirty-days_5.0,30,31700,5120,False,,*100*2#,monthly
19,mci_thirty-days_6.0,30,37000,6144,False,,*100*2#,monthly
20,mci_thirty-days_2.0,30,10400,2048,False,,*100*6#,new-sub
21,mci_thirty-days_3.0,30,12400,3072,False,,*100*6#,new-sub
22,mci_thirty-days_5.0,30,15400,5120,False,,*100*6#,new-sub
23,mci_thirty-days_7.0,30,18400,7168,False,,*100*6#,new-sub
24,mci_thirty-days_12.0,30,13400,12288,True,,*100*33#,sobhanet
25,mci_unlimited-monthly_0.0,30,26600,0,True,,*100*33#,unlimited
26,mci_unsorted-one-day_3.0,1,13300,3072,False,,*100*3#,short-time
27,mci_unsorted-seven-days_6.0,7,26300,6144,False,,*100*3#,short-time
28,mci_unsorted-thirty-days_8.0,30,38000,8192,False,,*100*2#,monthly
29,mci_unsorted-two-months_12.0,60,61900,12288,False,,*100*4#,long-time
30,mci_unsorted-four-months_15.0,120,83500,15360,False,,*100*4#,long-time
