,name,duration,price,volume,is_nightly,nightly_desc,purchase_code
0,mtn_180days_80.0,180,482000,81920,False,,
1,mtn_120days_72.0,120,435000,73728,False,,
2,mtn_90days_30.0,90,195000,30720,False,,
3,mtn_120days_18.0,120,118000,18432,False,,
4,mtn_90days_10.0,90,76000,10240,False,,
5,mtn_90days_90.0,90,300000,51200,False,,
6,mtn_180days_20.0,180,150000,20480,False,,
7,mtn_3days_0.732421875,3,9000,750,False,,
8,mtn_30days_7.0,30,38000,7168,False,,
9,mtn_daily_2.5,1,12600,2560,False,,
10,mtn_7days_5.0,7,24200,5120,False,,
11,mtn_7days_3.90625,7,4500,4000,True,6 صبح تا 12 ظهر,خرید با کد دستوری *555*5*2#
12,mtn_daily_0.48828125,1,500,500,True,2 تا 7 صبح,خرید با کد دستوری *555*5*1#
13,mtn_7days_0.001953125,7,1500,2,True,2 تا 7 صبح,خرید با کد دستوری *555*5*2#
14,mtn_7days_4.8828125,7,2500,5000,True,2 تا 7 صبح,خرید با کد دستوری *555*5*2#
15,mtn_30days_29.296875,30,9000,30000,True,2 تا 7 صبح,خرید با کد دستوری *555*5*3#
16,mtn_30days_6.8359375,30,7500,7000,True,6 صبح تا 12 ظهر,خرید با کد دستوری *555*5*3#
17,mtn_30days_9.765625,30,9000,10000,True,6 صبح تا 12 ظهر,خرید با کد دستوری *555*5*3#
18,mtn_60days_10.0,60,48500,10240,False,,
19,mtn_120days_15.0,120,83500,15360,False,,
20,mtn_30days_1.0,30,14100,1024,False,,خرید با کد دستوری *555*5*3#
21,mtn_30days_2.0,30,18800,2048,False,,خرید با کد دستوری *555*5*3#
22,mtn_30days_3.0,30,25500,3072,False,,خرید با کد دستوری *555*5*3#
23,mtn_30days_4.0,30,28600,4096,False,,خرید با کد دستوری *555*5*3#
24,mtn_30days_5.0,30,31700,5120,False,,خرید با کد دستوری *555*5*3#
25,mtn_30days_6.0,30,37000,6144,False,,خرید با کد دستوری *555*5*3#
26,mtn_15days_0.390625,15,9400,400,False,,خرید با کد دستوری *۵۵۵*۵*۱۳#
27,mtn_15days_0.732421875,15,12100,750,False,,خرید با کد دستوری *۵۵۵*۵*۱۳#
28,mtn_15days_1.5,15,15500,1536,False,,خرید با کد دستوری *۵۵۵*۵*۱۳#
29,mtn_15days_2.5,15,19500,2560,False,,خرید با کد دستوری *۵۵۵*۵*۱۳#
30,mtn_15days_3.5,15,22200,3584,False,,خرید با کد دستوری *۵۵۵*۵*۱۳#
31,mtn_15days_5.0,15,24800,5120,False,,
32,mtn_7days_0.1953125,7,5900,200,False,,خرید با کد دستوری *۵۵۵*۵*۲#
33,mtn_7days_0.48828125,7,9400,500,False,,خرید با کد دستوری *۵۵۵*۵*۲#
34,mtn_7days_0.732421875,7,11200,750,False,,خرید با کد دستوری *۵۵۵*۵*۲#
35,mtn_7days_1.5,7,14700,1536,False,,خرید با کد دستوری *۵۵۵*۵*۲#
36,mtn_7days_2.5,7,17500,2560,False,,خرید با کد دستوری *۵۵۵*۵*۲#
37,mtn_daily_0.05859375,1,2150,60,False,,خرید با کد دستوری *۵۵۵*۵*۱#
38,mtn_daily_0.09765625,1,2950,100,False,,خرید با کد دستوری *۵۵۵*۵*۱#
39,mtn_daily_0.1953125,1,4300,200,False,,خرید با کد دستوری *۵۵۵*۵*۱#
40,mtn_daily_0.29296875,1,5230,300,False,,خرید با کد دستوری *۵۵۵*۵*۱#
41,mtn_daily_0.390625,1,6030,400,False,,خرید با کد دستوری *۵۵۵*۵*۱#
42,mtn_daily_0.732421875,1,7640,750,False,,خرید با کد دستوری *۵۵۵*۵*۱#
43,mtn_daily_1.5,1,9900,1536,False,,خرید با کد دستوری *۵۵۵*۵*۱#
44,mtn_3days_0.146484375,3,4700,150,False,,خرید با کد دستوری *۵۵۵*۵*۱۲#
45,mtn_3days_0.244140625,3,5900,250,False,,خرید با کد دستوری *۵۵۵*۵*۱۲#
46,mtn_3days_0.390625,3,7110,400,False,,خرید با کد دستوری *۵۵۵*۵*۱۲#
47,mtn_3days_1.5,3,12100,1536,False,,خرید با کد دستوری *۵۵۵*۵*۱۲#
48,mtn_3days_2.5,3,14800,2560,False,,خرید با کد دستوری *۵۵۵*۵*۱۲#
