,name,duration,price,volume,is_nightly,nightly_desc,purchase_code
9,taliya_daily_0.2,1,1900,200,FALSE,,
12,taliiya_daily_0.6,1,3300,600,FALSE,,
37,talial_daily_0.75,1,5400,750,FALSE,,
38,talial_7days_0.6,7,5500,600,FALSE,,
39,talial_7days_2,7,11900,2096,FALSE,,
40,talial_7days_5,7,17900,5120,FALSE,,
41,talial_30days_3,30,16900,3072,FALSE,,
42,talial_30days_7,30,26900,7168,FALSE,,
43,talial_30days_10,30,33000,10240,FALSE,,
7,talial_30days_16,30,46000,16384,FALSE,,
44,talial_120days_5,120,35000,5144,FALSE,,
45,talial_120days_10,120,41000,10240,FALSE,,
46,talial_120days_16,120,52000,16384,FALSE,,
47,talial_120days_25,120,69900,25600,FALSE,,
